datetime,discharge
2018-01-01,5584.270833333333
2018-01-02,5421.458333333333
2018-01-03,5302.1875
2018-01-04,5270.208333333333
2018-01-05,5597.8125
2018-01-06,6753.541666666667
2018-01-07,6661.25
2018-01-08,6251.145833333333
2018-01-09,6882.083333333333
2018-01-10,8372.395833333334
2018-01-11,9324.895833333334
2018-01-12,11703.125
2018-01-13,10679.270833333334
2018-01-14,9311.145833333334
2018-01-15,8527.8125
2018-01-16,9467.291666666666
2018-01-17,10772.916666666666
2018-01-18,12751.041666666666
2018-01-19,21028.125
2018-01-20,20017.708333333332
2018-01-21,17197.916666666668
2018-01-22,20428.125
2018-01-23,18497.916666666668
2018-01-24,19902.083333333332
2018-01-25,29159.375
2018-01-26,26293.75
2018-01-27,23462.5
2018-01-28,25086.458333333332
2018-01-29,23429.166666666668
2018-01-30,21617.708333333332
2018-01-31,20566.666666666668
2018-02-01,19086.458333333332
2018-02-02,17987.5
2018-02-03,18100.0
2018-02-04,18964.583333333332
2018-02-05,18998.958333333332
2018-02-06,17683.333333333332
2018-02-07,16001.041666666666
2018-02-08,14847.916666666666
2018-02-09,14196.875
2018-02-10,13525.0
2018-02-11,12622.916666666666
2018-02-12,11916.666666666666
2018-02-13,11164.583333333334
2018-02-14,10539.583333333334
2018-02-15,10042.8125
2018-02-16,9579.479166666666
2018-02-17,9219.166666666666
2018-02-18,9352.083333333334
2018-02-19,9412.395833333334
2018-02-20,8828.020833333334
2018-02-21,8427.5
2018-02-22,8326.25
2018-02-23,8195.625
2018-02-24,7974.375
2018-02-25,8057.5
2018-02-26,10007.395833333334
2018-02-27,9473.333333333334
2018-02-28,8743.020833333334
2018-03-01,11875.9375
2018-03-02,14647.916666666666
2018-03-03,13284.375
2018-03-04,12159.375
2018-03-05,11404.166666666666
2018-03-06,10850.0
2018-03-07,10689.583333333334
2018-03-08,11847.916666666666
2018-03-09,21190.625
2018-03-10,27236.458333333332
2018-03-11,22732.608695652172
2018-03-12,20416.666666666668
2018-03-13,22668.75
2018-03-14,30397.916666666668
2018-03-15,26335.416666666668
2018-03-16,25454.166666666668
2018-03-17,23684.375
2018-03-18,21401.041666666668
2018-03-19,19584.375
2018-03-20,18260.416666666668
2018-03-21,17945.833333333332
2018-03-22,22685.416666666668
2018-03-23,27128.125
2018-03-24,27907.291666666668
2018-03-25,26677.083333333332
2018-03-26,24772.916666666668
2018-03-27,22652.083333333332
2018-03-28,21755.208333333332
2018-03-29,22373.958333333332
2018-03-30,22861.458333333332
2018-03-31,22792.708333333332
2018-04-01,23000.0
2018-04-02,22022.916666666668
2018-04-03,20873.958333333332
2018-04-04,19483.157894736843
2018-04-05,19179.166666666668
2018-04-06,27608.333333333332
2018-04-07,66705.20833333333
2018-04-08,79607.29166666667
2018-04-09,56752.083333333336
2018-04-10,46090.625
2018-04-11,41196.875
2018-04-12,37864.583333333336
2018-04-13,33809.375
2018-04-14,30661.458333333332
2018-04-15,29234.375
2018-04-16,30163.541666666668
2018-04-17,27858.333333333332
2018-04-18,26293.75
2018-04-19,24863.541666666668
2018-04-20,22948.958333333332
2018-04-21,21714.583333333332
2018-04-22,20775.0
2018-04-23,19960.416666666668
2018-04-24,19409.375
2018-04-25,19428.125
2018-04-26,19736.458333333332
2018-04-27,19917.708333333332
2018-04-28,19247.916666666668
2018-04-29,18976.041666666668
2018-04-30,18062.5
2018-05-01,16900.0
2018-05-02,15796.875
2018-05-03,15292.708333333334
2018-05-04,15469.791666666666
2018-05-05,15757.291666666666
2018-05-06,16066.666666666666
2018-05-07,15928.125
2018-05-08,15228.125
2018-05-09,14882.291666666666
2018-05-10,16062.5
2018-05-11,15457.291666666666
2018-05-12,14729.166666666666
2018-05-13,14491.666666666666
2018-05-14,14477.083333333334
2018-05-15,14381.25
2018-05-16,14676.041666666666
2018-05-17,14771.875
2018-05-18,14388.541666666666
2018-05-19,13713.541666666666
2018-05-20,13173.958333333334
2018-05-21,12888.541666666666
2018-05-22,12523.958333333334
2018-05-23,11835.416666666666
2018-05-24,11330.208333333334
2018-05-25,11050.0
2018-05-26,11225.0
2018-05-27,10989.583333333334
2018-05-28,10188.125
2018-05-29,9614.0625
2018-05-30,9196.770833333334
2018-05-31,8813.333333333334
2018-06-01,8606.979166666666
2018-06-02,8269.375
2018-06-03,7871.25
2018-06-04,7529.791666666667
2018-06-05,7271.595744680851
2018-06-06,7023.020833333333
2018-06-07,6900.833333333333
2018-06-08,6923.958333333333
2018-06-09,7235.208333333333
2018-06-10,7685.3125
2018-06-11,7413.229166666667
2018-06-12,6905.520833333333
2018-06-13,6468.854166666667
2018-06-14,6123.958333333333
2018-06-15,5886.25
2018-06-16,5640.3125
2018-06-17,5541.354166666667
2018-06-18,5357.291666666667
2018-06-19,5178.020833333333
2018-06-20,5113.333333333333
2018-06-21,4995.9375
2018-06-22,4844.895833333333
2018-06-23,4792.395833333333
2018-06-24,4654.375
2018-06-25,4425.9375
2018-06-26,4243.958333333333
2018-06-27,4209.375
2018-06-28,4234.791666666667
2018-06-29,4140.625
2018-06-30,3987.9166666666665
2018-07-01,3863.125
2018-07-02,3759.1666666666665
2018-07-03,3652.2916666666665
2018-07-04,3523.8541666666665
2018-07-05,3449.1666666666665
2018-07-06,3485.8333333333335
2018-07-07,3449.2708333333335
2018-07-08,3325.2083333333335
2018-07-09,3305.2083333333335
2018-07-10,3248.6458333333335
2018-07-11,3206.6666666666665
2018-07-12,3162.5
2018-07-13,3105.5208333333335
2018-07-14,3084.375
2018-07-15,3007.2916666666665
2018-07-16,2972.0833333333335
2018-07-17,3008.4375
2018-07-18,3007.3958333333335
2018-07-19,2956.9791666666665
2018-07-20,2871.4583333333335
2018-07-21,2759.157894736842
2018-07-22,2679.4736842105262
2018-07-23,2658.0851063829787
2018-07-24,2651.2631578947367
2018-07-25,2606.808510638298
2018-07-26,2616.4893617021276
2018-07-27,2568.6315789473683
2018-07-28,2639.2708333333335
2018-07-29,2820.537634408602
2018-07-30,3064.0
2018-07-31,2953.4736842105262
2018-08-01,2918.6021505376343
2018-08-02,2917.3333333333335
2018-08-03,2975.8333333333335
2018-08-04,2928.3333333333335
2018-08-05,2868.0851063829787
2018-08-06,2960.2127659574467
2018-08-07,2922.0833333333335
2018-08-08,2814.8958333333335
2018-08-09,2817.1875
2018-08-10,2804.375
2018-08-11,2731.9565217391305
2018-08-12,2677.7083333333335
2018-08-13,2710.0
2018-08-14,2704.1666666666665
2018-08-15,2671.6666666666665
2018-08-16,2681.5789473684213
2018-08-17,2681.276595744681
2018-08-18,2624.7368421052633
2018-08-19,2633.191489361702
2018-08-20,2629.0425531914893
2018-08-21,2573.3333333333335
2018-08-22,2612.043010752688
2018-08-23,2685.9139784946237
2018-08-24,2643.936170212766
2018-08-25,2549.4565217391305
2018-08-26,3035.2083333333335
2018-08-27,3581.5625
2018-08-28,3422.5
2018-08-29,3288.494623655914
2018-08-30,3008.6666666666665
2018-08-31,2687.340425531915
2018-09-01,2503.5789473684213
2018-09-02,2526.8817204301076
2018-09-03,2556.1052631578946
2018-09-04,2608.1052631578946
2018-09-05,2592.1739130434785
2018-09-06,2529.1397849462364
2018-09-07,2501.1702127659573
2018-09-08,2516.559139784946
2018-09-09,2512.127659574468
2018-09-10,2502.9032258064517
2018-09-11,2501.6666666666665
2018-09-12,2505.4166666666665
2018-09-13,2537.6041666666665
2018-09-14,2574.1666666666665
2018-09-15,2605.625
2018-09-16,2607.0833333333335
2018-09-17,2604.7916666666665
2018-09-18,2620.9375
2018-09-19,2615.7291666666665
2018-09-20,2597.8125
2018-09-21,2575.157894736842
2018-09-22,2561.595744680851
2018-09-23,2331.9791666666665
2018-09-24,2304.0625
2018-09-25,2259.6875
2018-09-26,2265.0
2018-09-27,2238.9583333333335
2018-09-28,2197.553191489362
2018-09-29,2207.7083333333335
2018-09-30,2371.7708333333335
2018-10-01,2495.7291666666665
2018-10-02,2482.7083333333335
2018-10-03,2541.9791666666665
2018-10-04,2606.875
2018-10-05,2617.3958333333335
2018-10-06,2724.2708333333335
2018-10-07,2817.3958333333335
2018-10-08,2691.4583333333335
2018-10-09,2601.875
2018-10-10,2554.7916666666665
2018-10-11,2531.1458333333335
2018-10-12,2504.8958333333335
2018-10-13,2494.1666666666665
2018-10-14,2507.5
2018-10-15,2452.3958333333335
2018-10-16,2381.3541666666665
2018-10-17,2357.3958333333335
2018-10-18,2304.2708333333335
2018-10-19,2253.4375
2018-10-20,2311.9791666666665
2018-10-21,2331.6666666666665
2018-10-22,2281.3541666666665
2018-10-23,2258.75
2018-10-24,2268.3333333333335
2018-10-25,2315.5208333333335
2018-10-26,2283.2291666666665
2018-10-27,2288.5416666666665
2018-10-28,2409.8958333333335
2018-10-29,2563.4375
2018-10-30,2670.8333333333335
2018-10-31,2545.1041666666665
2018-11-01,2507.1875
2018-11-02,2432.5
2018-11-03,2428.125
2018-11-04,2400.5
2018-11-05,2403.4375
2018-11-06,2437.6041666666665
2018-11-07,2388.75
2018-11-08,2385.2083333333335
2018-11-09,2359.5833333333335
2018-11-10,2361.875
2018-11-11,2361.4583333333335
2018-11-12,2351.5625
2018-11-13,2344.2708333333335
2018-11-14,2344.0625
2018-11-15,2354.4791666666665
2018-11-16,2345.5208333333335
2018-11-17,2342.2916666666665
2018-11-18,2361.1458333333335
2018-11-19,2355.1041666666665
2018-11-20,2354.6875
2018-11-21,2471.25
2018-11-22,3266.4583333333335
2018-11-23,6026.041666666667
2018-11-24,9671.770833333334
2018-11-25,6007.708333333333
2018-11-26,4295.729166666667
2018-11-27,4575.416666666667
2018-11-28,9621.666666666666
2018-11-29,8198.125
2018-11-30,8059.0625
2018-12-01,8988.125
2018-12-02,9246.145833333334
2018-12-03,7119.895833333333
2018-12-04,5738.229166666667
2018-12-05,5019.895833333333
2018-12-06,4616.354166666667
2018-12-07,4296.25
2018-12-08,4128.645833333333
2018-12-09,4144.270833333333
2018-12-10,4967.8125
2018-12-11,5499.583333333333
2018-12-12,6052.604166666667
2018-12-13,6743.333333333333
2018-12-14,5865.9375
2018-12-15,6270.9375
2018-12-16,6251.354166666667
2018-12-17,11167.291666666666
2018-12-18,13283.333333333334
2018-12-19,22568.75
2018-12-20,16471.875
2018-12-21,18483.333333333332
2018-12-22,15321.875
2018-12-23,12242.708333333334
2018-12-24,13543.75
2018-12-25,23162.5
2018-12-26,18354.166666666668
2018-12-27,14078.125
2018-12-28,11652.083333333334
2018-12-29,10030.416666666666
2018-12-30,9038.125
2018-12-31,8303.75
